,Inflation,gIh,Own Interest rate,Interest rate
2016-09-30,0.015061929903455118,0.009724944487378383,0.020237613901778605,0.0342
2016-12-31,0.015811984510708976,0.03423725563473991,0.029841511569046544,0.0432
2017-03-31,0.01281450731449918,0.040895796495583385,0.03138829897318988,0.0414
2017-06-30,0.013306256545476902,0.010158307828023013,0.027656680817258868,0.0388
2017-09-30,0.016557368448664844,0.007148031914025147,0.023178841555337195,0.0383
2017-12-31,0.017190838433987388,0.03736870158867519,0.024279991919592226,0.039900000000000005
2018-03-31,0.015515203174071512,0.014391410845314262,0.031658970069376985,0.0444
2018-06-30,0.01155604406584887,0.01319440068668687,0.03808201439797128,0.0455
2018-09-30,0.009216271213228877,-0.00434801675589873,0.043381723220194235,0.0472
2018-12-31,0.007923302044691605,-0.0073433064346111795,0.04291373105157204,0.0455
2019-03-31,0.007045296742460572,0.0013863043622828403,0.03777997666039189,0.0406
2019-06-30,0.00824959981485418,-0.0006368532212735481,0.03211487850205179,0.0373
2019-09-30,0.008435549817086052,0.02061396932372209,0.03078205838329963,0.0364
2019-12-31,0.012433670493505966,0.021890958225971226,0.02705666309803658,0.0374
