,Labor Freedom,Financial Freedom,Business Freedom,Financial Freedom,BCA_NGDPD,GGXCNL_NGDP,LUR,NGDPRPPPPCPCH,NGDP_RPCH,PCPIEPCH,PCPIPCH,PPPGDP
NPL,0.435,0.3,0.6459999999999999,0.3,-8.093,-6.651,,4.908,6.658,4.58,4.147,86.655
NLD,0.615,0.8,0.805,0.8,10.875,1.491,3.839,2.003,2.597,1.881,1.602,970.536
NZL,0.8440000000000001,0.8,0.915,0.8,-3.844,1.429,4.275,1.562,3.166,1.889,1.596,200.79
NIC,0.573,0.5,0.602,0.5,0.635,-3.192,5.5,-4.94,-3.95,3.885,4.947,35.661
NER,0.457,0.4,0.455,0.4,-12.673,-3.005,,2.997,7.005,1.618,2.753,32.189
NGA,0.815,0.4,0.493,0.4,1.34,-4.306,22.562,-0.68,1.923,11.442,12.094,"1,168.75"
MKD,0.69,0.6,0.8290000000000001,0.6,-0.139,-1.763,20.725,2.641,2.72,0.84,1.458,32.93
NOR,0.546,0.6,0.904,0.6,7.145,7.339,3.854,0.649,1.29,3.487,2.765,395.872
OMN,0.552,0.6,0.763,0.6,-5.485,-7.944,,0.857,1.764,0.881,0.881,200.314
PAK,0.406,0.4,0.5529999999999999,0.4,-6.325,-6.422,5.55,3.585,5.528,5.212,3.925,"1,143.37"
PAN,0.435,0.7,0.7440000000000001,0.7,-8.222,-3.185,5.956,2.18,3.692,0.158,0.762,106.866
PNG,0.667,0.3,0.606,0.3,25.939,-2.588,,-2.875,-0.849,4.8,4.674,32.396
PRY,0.299,0.6,0.622,0.6,0.022,-1.65,6.236,2.221,3.681,3.2,3.976,94.467
PER,0.624,0.6,0.6920000000000001,0.6,-1.697,-2.001,6.7,2.882,3.969,2.192,1.317,457.956
PHL,0.5760000000000001,0.6,0.626,0.6,-2.651,-1.629,5.325,4.569,6.244,5.128,5.212,953.288
POL,0.639,0.7,0.672,0.7,-0.994,-0.238,3.846,5.138,5.148,1.1,1.6,"1,215.45"
PRT,0.441,0.6,0.8320000000000001,0.6,0.389,-0.446,6.994,2.802,2.637,0.635,1.168,333.783
QAT,0.654,0.6,0.713,0.6,8.702,5.178,,0.186,1.493,,0.184,352.487
COG,0.341,0.3,0.313,0.3,7.234,6.617,,-0.888,1.59,0.897,1.153,30.964
ROU,0.6679999999999999,0.5,0.652,0.5,-4.381,-2.819,4.187,5.043,4.437,3.261,4.631,518.633
RUS,0.52,0.3,0.77,0.3,6.832,2.91,4.8,2.605,2.535,4.269,2.878,"4,257.84"
RWA,0.812,0.4,0.55,0.4,-7.952,-2.607,,6.087,8.606,1.135,1.364,27.657
LCA,0.695,0.4,0.7659999999999999,0.4,2.193,-0.997,,1.838,2.639,2.17,2.386,2.835
VCT,0.75,0.4,0.8,0.4,-11.989,-0.9,,2.061,2.163,1.372,2.324,1.352
WSM,0.765,0.3,0.77,0.3,0.818,0.07,,-3.03,-2.168,5.782,3.672,1.11
STP,0.42700000000000005,0.3,0.659,0.3,-11.11,-1.883,,0.563,3.028,9.045,8.27,0.723
