ISO,Year,Debt/GDP
NGA,2012,10.4208246122901
NGA,2013,10.5008843021498
NGA,2014,10.5789527610903
NGA,2015,11.5032433861457
NIC,2000,204.871
NIC,2001,227.462
NIC,2002,235.7
NIC,2003,236.176
NIC,2004,160.519
NIC,2005,71.399597313354
NIC,2006,54.65319279875
NIC,2007,31.5885860331596
NIC,2008,26.4812139121947
NIC,2009,29.4488280918531
NIC,2010,30.8722810632973
NIC,2011,29.2722310288096
NIC,2012,28.5004742391323
NIC,2013,29.5054006883163
NIC,2014,29.3340660350679
NIC,2015,29.3991210909961
NLD,2000,53.8
NLD,2001,48.6836474398778
NLD,2002,48.1724000558138
NLD,2003,49.3063546167039
NLD,2004,49.6139817803218
NLD,2005,48.9431076100284
NLD,2006,44.474561991119
NLD,2007,42.3760761805374
NLD,2008,54.4667009823785
NLD,2009,56.4925348965249
NLD,2010,59.3398066861754
NLD,2011,61.6335551826096
NLD,2012,66.3876161720121
NLD,2013,67.7403837315472
NLD,2014,67.9459373039239
NLD,2015,65.1192628275718
NOR,2000,28.099206438683
NOR,2001,26.7010740867387
NOR,2002,33.4931652160871
NOR,2003,42.6693907742158
NOR,2004,43.4725735010643
NOR,2005,42.0081339768249
NOR,2006,52.3317257343435
NOR,2007,49.2010378486217
NOR,2008,47.2644255570021
NOR,2009,41.9716359810972
NOR,2010,42.3657806221256
NOR,2011,28.8822277292796
NOR,2012,30.0222007959641
NOR,2013,30.3047994649533
NOR,2014,27.9408985879984
NOR,2015,27.9408985879984
NPL,2000,57.9311634748381
NPL,2001,57.9068292141288
NPL,2002,59.103265630911
NPL,2003,60.4255285255262
NPL,2004,58.5423879497558
NPL,2005,51.4807510153821
NPL,2006,48.8983890076648
NPL,2007,43.2137992410888
NPL,2008,41.9273548267895
NPL,2009,38.5296746585135
NPL,2010,34.0359172348514
NPL,2011,31.6593171649091
NPL,2012,34.4593192349665
NPL,2013,31.9489814779288
NPL,2014,27.3941619509651
NPL,2015,27.9761938517321
NZL,2000,26.7200705138926
NZL,2001,25.0677849506135
NZL,2002,23.4977282804844
NZL,2003,21.9798198392221
NZL,2004,20.0302422252751
NZL,2005,18.5011715610593
NZL,2006,16.3689622076827
NZL,2007,14.5054237749943
NZL,2008,16.8872928513321
NZL,2009,21.6514700288169
NZL,2010,26.8655441481496
NZL,2011,31.5372931629556
NZL,2012,31.9482411190361
NZL,2013,30.8020320199761
NZL,2014,30.3187075900444
NZL,2015,29.9470653539064
OMN,2000,26.1007253900158
OMN,2001,25.1395319230588
OMN,2002,18.6945531805596
OMN,2003,17.1734560043766
OMN,2004,15.9534615168984
OMN,2005,9.87106214507009
OMN,2006,8.90981847462802
OMN,2007,7.10497828263258
OMN,2008,4.8421697575054
OMN,2009,6.8898943278217
OMN,2010,5.85281485152035
OMN,2011,5.18081801871184
OMN,2012,4.93250364563106
OMN,2013,5.06806834425687
OMN,2014,4.88199684612016
OMN,2015,14.8812326058877
PAN,2000,56.4336312454245
PAN,2001,60.8945856096333
PAN,2002,60.0094911491004
PAN,2003,59.4768562308203
PAN,2004,61.9038793205485
PAN,2005,62.4824921990938
PAN,2006,57.6487839501545
PAN,2007,49.9607396038827
PAN,2008,42.5630255013299
PAN,2009,41.2866272401728
PAN,2010,40.2119366703745
PAN,2011,37.2783671665485
PAN,2012,35.7033563584802
PAN,2013,34.9642079132873
PAN,2014,37.0805837895041
PAN,2015,38.7707651643787
PER,2000,39.3755
PER,2001,39.3258
PER,2002,40.332
PER,2003,41.2907
PER,2004,37.9188
PER,2006,34.7700950193827
PER,2007,31.869875541436
PER,2008,27.962777323528
PER,2009,28.3836724953826
PER,2010,25.4031545674163
PER,2011,23.0235749714516
PER,2012,21.2141749437351
PER,2013,20.3379490016892
PER,2014,20.7101598780162
PER,2015,23.9750835848634
PNG,2000,53.9124
PNG,2001,56.8062
PNG,2002,62.5796
PNG,2003,55.2705
PNG,2004,50.0209
PNG,2005,39.6484
PNG,2006,35.9893
PNG,2007,32.8855
PNG,2008,21.7830457089081
PNG,2009,21.8460113932773
PNG,2010,17.3418363340814
PNG,2011,16.3071204304883
PNG,2012,19.1483696265373
PNG,2013,25.0271813565393
PNG,2014,28.1100566101805
PNG,2015,30.5515506634159
PHL,2000,58.7741757784485
PHL,2001,58.8308323568113
PHL,2002,63.2557235607911
PHL,2003,68.0356918195088
PHL,2004,65.804044811809
PHL,2005,59.1688432917969
PHL,2006,51.5819967511577
PHL,2007,44.6396568205793
PHL,2008,44.1672575948027
PHL,2009,44.3430743330795
PHL,2010,43.4617662794571
PHL,2011,41.4117190446888
PHL,2012,40.6094979247399
PHL,2013,39.2584352162152
PHL,2014,36.3976417649594
PHL,2015,34.7946235279849
PAK,2000,74.8480605112365
PAK,2001,79.0901581748598
PAK,2002,73.6686857672183
PAK,2003,68.1868303308014
PAK,2004,61.5560204110779
PAK,2005,58.9210332188567
PAK,2006,53.9316299343836
PAK,2007,51.9548477716287
PAK,2008,57.2868534531103
PAK,2009,58.5665014829496
PAK,2010,60.6734171278082
PAK,2011,58.9420753921442
PAK,2012,63.34962688754
PAK,2013,64.2394259712458
PAK,2014,63.6825383280549
PAK,2015,63.5676634239774
POL,2000,36.5831607059854
POL,2001,37.3517857037487
POL,2002,41.7786801359163
POL,2003,46.5877791306609
POL,2004,45.3228933441834
POL,2005,46.7028300502711
POL,2006,47.1513996641598
POL,2007,44.1870480549315
POL,2008,46.6115863197836
POL,2009,49.8093071784196
POL,2010,53.3268551705019
POL,2011,54.3671248476755
POL,2012,53.9801267298964
POL,2013,55.9686784246743
POL,2014,50.4855811282612
POL,2015,51.280890792676
PRI,2006,33.4466595646923
PRI,2007,36.8974404612836
PRI,2008,40.7642875245757
PRI,2009,46.5081886785993
PRI,2010,48.33899386977
PRI,2011,49.9968961462536
PRI,2012,53.7323042461561
PRI,2013,52.3083361083455
PRI,2014,54.73713259169
PRI,2015,52.9766916959167
PRT,2000,48.358602161787
PRT,2001,51.0680351463798
PRT,2002,53.6799241291215
PRT,2003,55.7001604646317
PRT,2004,57.4594653966984
PRT,2005,62.5329460043517
PRT,2006,61.618800425216
PRT,2007,68.4390825930903
PRT,2008,71.6663332178859
PRT,2009,83.609401088177
PRT,2010,96.1833185365076
PRT,2011,111.389678797878
PRT,2012,126.209890062282
PRT,2013,129.00084417095
PRT,2014,130.165394937574
PRT,2015,128.97682231548
PRY,2000,34.6587931266745
PRY,2001,42.7405607513271
