,ESP,BRA,LUX,GER,AUS
2020-03-31,24199.76712328767,62572,370.9166666666667,55838.333333333336,7095.708333333333
2020-04-01,23888.585616438355,62252,377.5,56305.958333333336,6956.75
2020-04-02,23673.450913242013,62612,375.25,56121.291666666664,6807.125
2020-04-03,23119.841324200916,61720,380.3333333333333,55251.416666666664,6611.125
2020-04-04,21487.663242009134,56753,352.4583333333333,47007.625,5798.708333333333
2020-04-05,20507.91894977169,53558,278.7916666666667,43987.041666666664,5397.791666666667
2020-04-06,22527.131278538815,60709,332.2916666666667,51952.708333333336,6386.708333333333
2020-04-07,22462.23287671233,60703,368.625,52675.791666666664,6373.291666666667
2020-04-08,22065.8002283105,59476,367.4166666666667,51844.666666666664,6294.666666666667
2020-04-09,21086.514840182652,57932,382.625,50519.75,6232.166666666667
2020-04-10,20227.328767123283,50949,360.2916666666667,42030.291666666664,5862.208333333333
2020-04-11,20561.77054794521,52179,333.875,42537.416666666664,5138.416666666667
2020-04-12,19854.535388127857,49814,330.5416666666667,39437.208333333336,4729.5
2020-04-13,21459.055936073062,57391,315.9166666666667,41197.125,4999.083333333333
2020-04-14,23327.117579908678,58439,352.6666666666667,49797.0,6325.166666666667
2020-04-15,23921.453196347033,58718,371.3333333333333,51440.583333333336,6444.333333333333
2020-04-16,23891.408675799084,57464,395.1666666666667,51650.5,6367.583333333333
2020-04-17,23721.098173515988,57320,408.5833333333333,51238.75,6125.375
2020-04-18,21909.318493150684,53545,358.4583333333333,44379.458333333336,5338.625
2020-04-19,20626.144977168948,49502,340.6666666666667,41882.708333333336,5209.208333333333
2020-04-20,23148.69178082192,54719,313.625,51941.125,6324.0
2020-04-21,24005.11529680365,54233,341.75,53830.375,6425.291666666667
2020-04-22,24097.369863013697,58329,344.125,53231.041666666664,6412.291666666667
2020-04-23,23993.738584474886,58701,396.625,53293.458333333336,6390.375
2020-04-24,23751.607305936068,58568,386.0833333333333,51380.041666666664,6208.0
2020-04-25,22130.382420091322,54521,344.7083333333333,45188.375,5380.5
2020-04-26,20708.271689497717,50825,328.625,42417.583333333336,5025.541666666667
2020-04-27,23419.01712328767,57644,401.625,51611.208333333336,6293.791666666667
2020-04-28,23945.8002283105,58886,415.2083333333333,53158.0,6359.583333333333
2020-04-29,24018.985159817348,59618,388.0833333333333,53634.833333333336,6633.625
2020-04-30,23476.198630136987,59465,357.2916666666667,52301.25,6333.791666666667
2020-05-01,20652.01712328767,53625,303.2916666666667,41979.458333333336,5271.416666666667
2020-05-02,21040.673515981736,53034,305.0416666666667,43452.666666666664,5370.166666666667
2020-05-03,20434.93493150685,49592,351.0,41030.541666666664,5058.791666666667
2020-05-04,23236.70433789954,56733,399.0,52165.75,6398.125
2020-05-05,24166.715753424658,58680,396.5833333333333,53925.583333333336,6770.416666666667
2020-05-06,24397.82762557078,59314,393.75,52775.416666666664,6525.541666666667
2020-05-07,24052.603881278537,58211,421.0416666666667,52453.083333333336,6386.625
2020-05-08,23754.75684931507,57292,430.9166666666667,50287.208333333336,6181.958333333333
2020-05-09,21642.203196347033,52885,354.375,44370.458333333336,5382.041666666667
2020-05-10,20226.253424657534,48185,346.8333333333333,41038.291666666664,5040.083333333333
