,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal,Índice da Produção Física Industrial com ajuste sazonal (Média 2012 = 100),Taxa de câmbio,Exportações FOB,Importações FOB
2012-02-29,7831.48668763,16261.177428120001,0.05383583785179824,0.013169479107769666,99.1,1.7178,4074442780,6112639620
2012-03-31,8656.15661559,24917.33404371,0.06790529848423121,0.09537761163020497,98.3,1.7947,4818923785,7144086173
2012-04-30,8992.96877664,33910.30282035,0.07531831028254654,0.0964061405860579,96.8,1.8542,4007896206,6783513570
2012-05-31,8672.57217902,42582.874999370004,0.06916831597921469,0.04578195961089726,97.3,1.9854,5476647978,7335484451
2012-06-30,8742.36744759,51325.24244696001,0.06840857120241828,0.0647233433744141,96.9,2.0486,4858705439,6518023498
2012-07-31,8660.0938526,59985.33629956001,0.06759621552028916,0.06280691991510845,102.3,2.0282,5289806862,6108095275
2012-08-31,9033.95466526,69019.29096482001,0.06808935509638658,0.07137538633553087,103.1,2.0289,5814322734,6543402097
2012-09-30,9095.50690339,78114.79786821001,0.06412660485981747,0.03498804830597657,101.6,2.0275,5273200443,5935433913
2012-10-31,9557.090515760001,87671.88838397001,0.06855889917860769,0.10621922793536775,104.1,2.0293,5606847003,6568162208
2012-11-30,9166.941316049999,96838.82970002001,0.06915692462613232,0.07491038821652829,100.9,2.0672,5037336299,7028783733
2012-12-31,10263.14143411,107101.97113413001,0.0700652497125307,0.07871243488838586,101.4,2.0772,4880210821,5528719406
2013-01-31,8810.65150365,8810.65150365,0.045192733029949084,0.045192733029949084,102.8,2.0305,4068803063,7291228766
2013-02-28,8702.49599446,17513.14749811,0.07699135413312708,0.11121889643326299,100.3,1.9727,3797809702,5662896415
2013-03-31,8857.81151674,26370.95901485,0.058337901181163554,0.02329612437774209,102.9,1.9823,4463752147,6513455584
2013-04-30,9634.64327382,36005.60228867,0.061789464972356045,0.07135291060353777,104.6,2.0016,4791015365,9469567189
2013-05-31,9896.06517047,45901.66745914,0.07793725669812335,0.14107613821995924,103.9,2.0343,4744195881,7529727730
2013-06-30,10565.924608360001,56467.5920675,0.10019143359827565,0.20858848266240493,105.0,2.1724,4538331277,6903734531
2013-07-31,9750.76371825,66218.35578575,0.10390905295692576,0.12594203760534883,104.0,2.2516,4893181306,9537268273
2013-08-31,9728.3693702,75946.72515595,0.10036953573836316,0.07686718947244287,104.6,2.3416,5355752355,7256378727
2013-09-30,10508.33402109,86455.05917704,0.10676928746459957,0.15533242211859832,106.5,2.2699,4675201457,7037794142
2013-10-31,10272.83036433,96727.88954137001,0.10329424088298533,0.0748909772686277,102.8,2.1881,5075274383,9233781868
2013-11-30,9774.341255860001,106502.23079723,0.09978849524663347,0.0662598263552241,104.0,2.2947,4572860086,6896432205
2013-12-31,10833.931714639999,117336.16251187,0.09555558379894902,0.05561555243046268,97.4,2.3449,4704171465,6403314588
2014-01-31,9863.488307950001,9863.488307950001,0.11949590831777201,0.11949590831777201,98.1,2.3816,3839974919,7723753032
2014-02-28,9752.80796257,19616.29627052,0.1200897081827792,0.12069088785316628,98.7,2.3831,3815416609,6306205383
2014-03-31,9525.122358629998,29141.41862915,0.10505721891797348,0.0753358592727873,98.1,2.3255,3880295823,6530099247
2014-04-30,9692.2000705,38833.618699650004,0.07854378850009969,0.00597394164414955,99.2,2.2322,4391771882,6988545244
2014-05-31,9880.96345014,48714.58214979,0.06128131822561689,-0.0015260328291959446,99.4,2.2203,4379927211,7284846296
2014-06-30,9806.37124157,58520.95339136,0.0363635361218424,-0.07188707045941112,97.9,2.2349,4414897703,6993675375
2014-07-31,9894.2098558,68415.16324716,0.03317520399506435,0.014711272029032774,96.2,2.224,4631624602,7613886673
2014-08-31,9614.326270799998,78029.48951796,0.02742401805651551,-0.011722735338292045,97.1,2.2674,4284367629,7379542177
2014-09-30,10156.115574399999,88185.60509236,0.02001671078353251,-0.03351801017964473,96.4,2.3323,4612963219,8119879111
2014-10-31,10735.27509247,98920.88018482999,0.022671751175983745,0.04501629168780297,97.0,2.4476,4520380934,7276515267
2014-11-30,10238.72188495,109159.60206978,0.02495132029308733,0.047510171471820684,94.6,2.5477,3882602079,5838777873
