,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal
2000-01-31,2293.1367025100003,2293.1367025100003,0.1683886254167024,0.1683886254167024
2000-02-29,2108.2589429100003,4401.395645420001,0.15857059828334474,0.1480772517882083
2000-03-31,2171.68165564,6573.0773010600005,0.1600441302233262,0.1630420964217847
2000-04-30,2339.15772084,8912.2350219,0.1629351379384818,0.17113660470033776
2000-05-31,2344.37320056,11256.60822246,0.17510734805777894,0.22380243472518946
2000-06-30,2397.53200918,13654.14023164,0.1747062207822141,0.17282655092092036
2000-07-31,2477.73891407,16131.87914571,0.17751971002363942,0.19326908034257162
2000-08-31,2767.7568538699998,18899.63599958,0.19025430194199555,0.270327971797389
2000-09-30,2745.2331710900003,21644.86917067,0.19565192458186242,0.23418349366025226
2000-10-31,2827.25927934,24472.12845001,0.2035214975980384,0.26738369293845854
2000-11-30,3060.9282484899995,27533.0566985,0.22115703491644556,0.383203481301005
2000-12-31,2635.6922387399995,30168.74893724,0.21532155988959745,0.15753858375661234
2001-01-31,2729.78272612,2729.78272612,0.19041430156870276,0.19041430156870276
2001-02-28,2223.23586235,4953.01858847,0.12532909728849462,0.05453643150745924
2001-03-31,2888.9779156999994,7841.99650417,0.19304796596646878,0.3302953074163213
2001-04-30,2755.34954084,10597.34604501,0.18907838706779856,0.17792379551497017
2001-05-31,2861.32610262,13458.672147629999,0.19562410644942596,0.22050793872601648
2001-06-30,2868.5137366100003,16327.18588424,0.1957681411829868,0.19644439599831864
2001-07-31,2889.79232183,19216.97820607,0.191242386115968,0.16630219004114122
2001-08-31,2782.455881,21999.434087070003,0.16401363960442872,0.005310808682289947
2001-09-30,2768.6742379299994,24768.108325,0.14429466538712843,0.008538825439986963
2001-10-31,2921.1993141299995,27689.307639130002,0.13146299046655607,0.033226536906770354
2001-11-30,2792.34315845,30481.65079758,0.10709287135709267,-0.08774628747749857
2001-12-31,2823.2325684099997,33304.88336599,0.10395308188861563,0.07115410779509457
2002-01-31,2956.25360478,2956.25360478,0.08296296862494112,0.08296296862494112
2002-02-28,2612.9778396300003,5569.23144441,0.12441157749225185,0.1753039269832739
2002-03-31,2603.10072913,8172.33217354,0.0421239245891456,-0.09895443818258853
2002-04-30,2964.82287562,11137.155049160001,0.050938131288463806,0.07602423274258685
2002-05-31,2848.26398131,13985.41903047,0.0391381019659327,-0.004565058592251869
2002-06-30,2934.2457861799994,16919.66481665,0.036287878181254785,0.022915019973960726
2002-07-31,2999.9127828000005,19919.577599450004,0.03656138784390528,0.038106704117846446
2002-08-31,2964.79350878,22884.371108230003,0.04022544478451451,0.0655311838096313
2002-09-30,3204.6919397899997,26089.06304802,0.053332887020955067,0.15748248598072312
2002-10-31,3933.6139081999995,30022.676956220002,0.08426968805072343,0.3465749800682534
2002-11-30,3544.94011591,33567.61707213,0.10124012951408123,0.26952165788883864
2002-12-31,3276.8227903700003,36844.4398625,0.10627740255426033,0.16066342781510756
2003-01-31,3360.2956649299995,3360.2956649299995,0.13667368032860905,0.13667368032860905
2003-02-28,3196.5577241999995,6556.853389129999,0.17733541056393043,0.22333901027367098
2003-03-31,3160.0108024,9716.86419153,0.18899525682409402,0.2139410384845648
2003-04-30,3215.30735538,12932.17154691,0.16117370098797212,0.08448547865026135
2003-05-31,3098.93022102,16031.10176793,0.14627253806289797,0.08800667401436257
2003-06-30,3117.68234384,19148.78411177,0.13174724909008884,0.06251574374715596
2003-07-31,3196.87578196,22345.65989373,0.1217938624535384,0.06565624183785834
2003-08-31,3159.7282124099997,25505.38810614,0.11453305775868095,0.06574984161720399
2003-09-30,3340.8865506299994,28846.274656769998,0.10568457762070738,0.04249850325673554
2003-10-31,3423.21781718,32269.49247395,0.07483728119935384,-0.1297524624763069
2003-11-30,3484.68063934,35754.17311329,0.06513885202102787,-0.016998729061613704
2003-12-31,3989.41356499,39743.58667828,0.07868614169734545,0.21746393387954255
2004-01-31,3575.0946525500003,3575.0946525500003,0.06392264521892166,0.06392264521892166
2004-02-29,3262.9382461200003,6838.032898670001,0.04288329978616612,0.020766251589157125
2004-03-31,3469.3529220500004,10307.385820720001,0.060772860209855395,0.0978927411941306
2004-04-30,3656.95676836,13964.34258908,0.07981420896141977,0.1373583810707899
2004-05-31,3667.43962898,17631.78221806,0.09984843670147114,0.18345343954626947
2004-06-30,3831.5648213499994,21463.34703941,0.12087257938311224,0.22897858048960873
2004-07-31,3742.9504009499997,25206.297440360002,0.12801759089838605,0.170815088303244
2004-08-31,3916.33499646,29122.63243682,0.14182275194664484,0.2394531216572322
2004-09-30,4041.5190273700005,33164.15146419,0.14968576909138687,0.20971453718112065
2004-10-31,4010.44360121,37174.5950654,0.15200433026362936,0.17154204476352852
2004-11-30,4129.9926761,41304.5877415,0.15523823220923205,0.1851854168427387
2004-12-31,4110.988326039999,45415.57606754,0.1427145827369365,0.030474343927866077
2005-01-31,4208.89531918,4208.89531918,0.17728220599080635,0.17728220599080635
2005-02-28,3877.7236551,8086.61897428,0.182594335843697,0.18841466267743456
2005-03-31,3987.7631904600003,12074.38216474,0.1714301157203184,0.14942563643933848
2005-04-30,4165.23605777,16239.61822251,0.16293467586574728,0.13898969050102927
2005-05-31,4065.2090785100004,20304.82730102,0.15160379421100334,0.10845971297982326
2005-06-30,4129.91171452,24434.73901554,0.13844028942336295,0.07786554764976716
2005-07-31,4103.80619053,28538.545206069997,0.13219901786822685,0.09640945001259205
2005-08-31,4157.09690059,32695.642106659998,0.12268841690707233,0.06147633038226452
2005-09-30,4308.0148950699995,37003.65700173,0.1157727657131773,0.06593953063074398
2005-10-31,4337.22622549,41340.883227219994,0.11207353178939505,0.08148291230960214
2005-11-30,4367.002421359999,45707.88564857999,0.10660554063963845,0.057387449288120784
2005-12-31,4540.35452422,50248.24017279999,0.10640983829145023,0.10444354596199923
2006-01-31,4500.8554451499995,4500.8554451499995,0.06936740019157339,0.06936740019157339
2006-02-28,3695.2263159499994,8196.081761099998,0.013536285951910365,-0.04706300793507534
2006-03-31,4782.906834640001,12978.98859574,0.0749194798257804,0.19939590346845004
2006-04-30,4438.78504897,17417.77364471,0.07254822164273156,0.06567430690745857
2006-05-31,4527.03719806,21944.81084277,0.08076816007529475,0.11360501037729431
2006-06-30,4516.9931175,26461.80396027,0.08295832189739483,0.09372631420160737
2006-07-31,4389.310788520001,30851.11474879,0.08103319654248287,0.06957068261382204
2006-08-31,4500.399917520001,35351.51466631,0.08123016978794895,0.08258239467097273
2006-09-30,4669.949268699999,40021.463935010004,0.08155428889471428,0.0840141880763201
2006-10-31,5142.95381702,45164.41775203001,0.09248797380053286,0.18577024799737618
2006-11-30,5576.91809208,50741.335844110006,0.11012214028513889,0.27705862144752413
2006-12-31,5088.59306172,55829.928905830006,0.11108227300767148,0.12074795802298799
2007-01-31,4980.59752973,4980.59752973,0.10658908965782454,0.10658908965782454
2007-02-28,4689.489271699999,9670.08680143,0.17984264716902665,0.269066863769178
2007-03-31,4610.97882736,14281.065628789998,0.10032191826390613,-0.03594634251180051
2007-04-30,4909.1666248599995,19190.23225365,0.10176149059545958,0.10597079396740527
2007-05-31,5092.643328,24282.875581649998,0.10654294336969894,0.12493958083277579
2007-06-30,5037.81178039,29320.68736204,0.10803811433499977,0.11530207138731607
2007-07-31,5114.89839207,34435.58575411,0.11618610978913102,0.16530786688601173
2007-08-31,5234.57447916,39670.16023327,0.12216295702530866,0.16313540465189935
2007-09-30,5780.832974069999,45450.99320734,0.13566543395681108,0.23787918057603297
2007-10-31,5499.88070025,50950.873907589994,0.1281197996912049,0.06940114493130234
2007-11-30,5588.64497022,56539.51887780999,0.11426942033046683,0.0021027524425458743
2007-12-31,5677.83254753,62217.35142533999,0.11440857340663713,0.11579615006801713
2008-01-31,5935.233861479999,5935.233861479999,0.1916710446992793,0.1916710446992793
2008-02-29,5487.65072194,11422.88458342,0.18125977749556488,0.1702022126496212
2008-03-31,5330.379703399999,16753.26428682,0.17311023716928764,0.15601912369914084
2008-04-30,5863.71828873,22616.98257555,0.17856742308307538,0.1944427103036499
2008-05-31,6184.376216690001,28801.35879224,0.18607694115125772,0.21437450423584825
2008-06-30,6354.79822366,35156.1570159,0.19902226649075372,0.2614203349947397
2008-07-31,6433.14935463,41589.306370529994,0.20774209178556458,0.25772769300828724
2008-08-31,6512.27238148,48101.57875200999,0.21253805049339958,0.2440882076292541
2008-09-30,6844.832020600002,54946.41077260999,0.2089155130659841,0.18405635507937768
2008-10-31,7269.082715140001,62215.49348774999,0.22108785809230147,0.32168007113492125
2008-11-30,6385.52937431,68601.02286206,0.21332873401906105,0.14258991371545848
2008-12-31,6611.14560334,75212.1684654,0.2088616236847307,0.16437840461075504
2009-01-31,5191.41380032,5191.41380032,-0.1253227890458426,-0.1253227890458426
2009-02-28,6327.81993057,11519.233730889999,0.008434747525143171,0.15310180097121462
2009-03-31,5958.59619097,17477.82992186,0.04324922132399167,0.1178558606564728
2009-04-30,5881.051131420001,23358.88105328,0.03280271695181969,0.0029559473761411326
2009-05-31,6020.009364729999,29378.89041801,0.02005223538014489,-0.026577757594439144
2009-06-30,6205.555926149998,35584.446344159995,0.01218248422506174,-0.023484978162539805
2009-07-31,6381.83549287,41966.281837029994,0.009064240291516867,-0.007976476051044679
2009-08-31,6467.17894438,48433.460781409995,0.006899607830151311,-0.006924378229055672
2009-09-30,6793.828729509999,55227.289510919996,0.005111866896500228,-0.007451357598916242
2009-10-31,7153.3841542400005,62380.67366515999,0.0026549685319545713,-0.015916528320557455
2009-11-30,7121.97154904,69502.64521419999,0.013142987006956819,0.11532985466997059
2009-12-31,8014.190574740001,77516.83578893999,0.03064221349501728,0.21222418255183673
2010-01-31,6658.967700300001,6658.967700300001,0.28268867719416635,0.28268867719416635
2010-02-28,7005.850025649998,13664.817725949999,0.1862610000964211,0.10715066207943158
2010-03-31,7257.408125270001,20922.22585122,0.19707228785033526,0.2179728064587252
2010-04-30,7591.8501078399995,28514.07595906,0.22069528476220035,0.29090020443452924
2010-05-31,7245.094530220001,35759.17048928,0.21717226146017832,0.20350220261575092
2010-06-30,7617.72535411,43376.89584339,0.21898470539246917,0.22756533737922946
2010-07-31,7492.426512350002,50869.32235574,0.21214747003996393,0.17402376177210943
2010-08-31,7636.652619140001,58505.974974879995,0.20796602247626472,0.1808321193549589
2010-09-30,7772.59942081,66278.57439569,0.2001055091176409,0.14406761345757313
2010-10-31,7876.342706310001,74154.91710199999,0.18874825719325283,0.10106524918579729
2010-11-30,7993.823866920001,82148.74096892,0.18195128711642616,0.12241727053761142
2010-12-31,8668.48149057,90817.22245949,0.17158061903821542,0.0816415469195686
2011-01-31,7700.77470752,7700.77470752,0.15645172857244294,0.15645172857244294
2011-02-28,7729.690687609999,15430.465395129999,0.1292112126623517,0.1033194629216807
