,GDP,PRFI,PNFI,TCU,PCDG,H-GFI,H-GDP,Investment share,Housing share,Durables,Year
1962-06-30,600.366,29.906,61.356,,49.047,0.4874176934611122,0.04981294743539774,0.10219765942774908,0.04981294743539774,0.08169516594877124,1962
1962-09-30,609.0269999999999,29.871,62.101000000000006,,49.567,0.481006747073316,0.049047086582368275,0.10196756465641099,0.049047086582368275,0.08138719629835789,1962
1962-12-31,612.28,29.785,61.818999999999996,,51.54600000000001,0.48180979957618214,0.04864604429346051,0.1009652446593062,0.04864604429346051,0.08418697328019861,1962
1963-03-31,621.672,30.848000000000003,61.973,,52.589,0.4977651557936521,0.04962102201804167,0.09968761662098341,0.04962102201804167,0.08459283995418805,1963
1963-06-30,629.752,32.93,63.883,,53.881,0.5154736001753205,0.05229042543731501,0.10144151983638004,0.05229042543731501,0.08555907722405011,1963
1963-09-30,644.444,33.184,65.712,,54.701,0.5049914779644509,0.05149244930513745,0.10196696687377027,0.05149244930513745,0.08488092060753145,1963
1963-12-31,653.938,34.455999999999996,67.669,,55.739,0.5091844123601649,0.05269001036795537,0.10347922891772614,0.05269001036795537,0.08523590921463503,1963
1964-03-31,669.822,36.236999999999995,69.113,,57.995,0.524315251833953,0.05409944731585405,0.1031811436471182,0.05409944731585405,0.08658270406167608,1964
1964-06-30,678.674,34.988,71.075,,59.476000000000006,0.4922687302145621,0.05155347044383607,0.10472627505989622,0.05155347044383607,0.08763559529317465,1964
1964-09-30,692.0310000000001,34.533,73.406,,61.378,0.47043838378334196,0.049900943743849624,0.10607328284426565,0.049900943743849624,0.08869255857035306,1964
1964-12-31,697.319,34.644,75.324,,59.376999999999995,0.4599330890552812,0.049681709518885904,0.1080194286976262,0.049681709518885904,0.08515041179144696,1964
1965-03-31,717.79,34.768,80.23,,64.915,0.4333541069425402,0.04843756530461556,0.1117736385293749,0.04843756530461556,0.09043731453489183,1965
1965-06-30,730.191,35.102,83.382,,64.818,0.42097814876112344,0.0480723536718475,0.11419204016483359,0.0480723536718475,0.08876855507668541,1965
1965-09-30,749.323,35.258,86.686,,66.7,0.40673234432318944,0.047053139967677494,0.11568575901180134,0.047053139967677494,0.0890136830178708,1965
1965-12-31,771.857,35.523,90.645,,69.126,0.39189144464669873,0.046022773648486705,0.1174375564385631,0.046022773648486705,0.0895580398959911,1965
1966-03-31,795.7339999999999,35.946,94.382,,72.312,0.3808565192515522,0.045173387086639503,0.11860998775972877,0.045173387086639503,0.09087458874447994,1966
1966-06-30,804.9810000000001,34.361999999999995,96.823,,69.721,0.3548950146142962,0.04268672179840268,0.12027985753701016,0.04268672179840268,0.08661198214616245,1966
1966-09-30,819.638,33.018,98.325,,72.32300000000001,0.3358047292143402,0.04028363741066178,0.11996149519665998,0.04028363741066178,0.08823773421925289,1966
1966-12-31,833.302,30.188000000000002,99.163,,72.625,0.3044280628863589,0.036226962133776235,0.11900007440279754,0.036226962133776235,0.08715327696321382,1966
1967-03-31,844.17,29.389,97.999,0.870835,71.102,0.29989081521240013,0.03481407773315801,0.11608917635073504,0.03481407773315801,0.08422711065306752,1967
1967-06-30,848.9830000000001,32.857,98.29700000000001,0.859603,74.483,0.3342624902082464,0.03870159944309839,0.11578205924029103,0.03870159944309839,0.08773202761421607,1967
1967-09-30,865.2330000000001,34.786,98.785,0.861122,74.699,0.35213848256314223,0.0402041993312784,0.11417155841258943,0.0402041993312784,0.08633397015601577,1967
1967-12-31,881.439,37.476,101.744,0.878417,75.642,0.3683362163862242,0.042516838941775895,0.11542942846867453,0.042516838941775895,0.08581648871901515,1967
1968-03-31,909.387,38.268,105.58200000000001,0.87275,80.859,0.36244814457009716,0.0420810941876231,0.11610238545305795,0.0420810941876231,0.08891594007831649,1968
1968-06-30,934.3439999999999,39.563,105.29899999999999,0.876656,83.084,0.3757205671468865,0.04234307706797497,0.1126983209610165,0.04234307706797497,0.08892228130110538,1968
1968-09-30,950.825,40.394,107.609,0.870856,87.545,0.3753775241847801,0.042483106775694786,0.11317434859201218,0.042483106775694786,0.09207267373070754,1968
1968-12-31,968.03,42.571999999999996,112.182,0.876491,87.82600000000001,0.37949047084202453,0.043977975889176985,0.11588690433147733,0.043977975889176985,0.09072652707044204,1968
1969-03-31,993.337,44.906000000000006,115.993,0.884679,90.01100000000001,0.3871440517962291,0.04520721567806294,0.11677104547600663,0.04520721567806294,0.09061476618710469,1969
1969-06-30,1009.02,45.13,118.368,0.877221,90.448,0.38126858610435255,0.0447265663713306,0.11730986501754177,0.0447265663713306,0.08963945214168202,1969
1969-09-30,1029.9560000000001,44.961999999999996,122.40799999999999,0.874358,90.62799999999999,0.367312593948108,0.043654292028008954,0.11884779543980517,0.043654292028008954,0.08799210840074718,1969
1969-12-31,1038.147,42.503,123.28399999999999,0.8550220000000001,90.844,0.344756821647578,0.04094121545407346,0.11875389516128255,0.04094121545407346,0.08750591197585698,1969
1970-03-31,1051.2,42.493,123.796,0.829558,89.611,0.3432501857895247,0.04042332572298326,0.11776636225266363,0.04042332572298326,0.08524638508371385,1970
1970-06-30,1067.375,41.365,125.008,0.81613,91.006,0.3308988224753616,0.038753952453448884,0.11711722684155053,0.038753952453448884,0.0852615060311512,1970
1970-09-30,1086.059,42.566,126.255,0.8035720000000001,92.01100000000001,0.3371430834422399,0.03919308251209189,0.11625059043753608,0.03919308251209189,0.08472007506037887,1970
1970-12-31,1088.608,47.218,123.52,0.7933910000000001,87.324,0.38227007772020727,0.043374658279196926,0.11346600429171934,0.043374658279196926,0.08021620271025015,1970
1971-03-31,1135.156,50.961000000000006,126.281,0.7908280000000001,98.052,0.4035523950554716,0.04489338910246698,0.11124550282075768,0.04489338910246698,0.08637755515541477,1971
1971-06-30,1156.271,56.974,129.481,0.796569,100.98899999999999,0.4400182266123987,0.04927391588996005,0.1119815337407926,0.04927391588996005,0.0873402515500259,1971
1971-09-30,1177.675,60.68,131.19,0.796437,103.44200000000001,0.46253525421144903,0.05152525102426391,0.11139745685354618,0.05152525102426391,0.08783577812214746,1971
1971-12-31,1190.297,63.995,134.711,0.809011,107.302,0.475054004498519,0.053763892541105286,0.11317427499187178,0.053763892541105286,0.09014724896391406,1971
1972-03-31,1230.609,69.156,140.585,0.836216,110.704,0.4919159227513604,0.05619656609044791,0.11424018514410346,0.05619656609044791,0.08995871149975337,1972
1972-06-30,1266.369,70.824,143.976,0.840788,114.066,0.49191531921987,0.055926827014874815,0.11369198077337649,0.055926827014874815,0.09007327248219121,1972
1972-09-30,1290.566,72.36,147.015,0.851267,117.59100000000001,0.4921946740128559,0.05606842269205914,0.11391513490979925,0.05606842269205914,0.09111583599753907,1972
1972-12-31,1328.904,77.257,154.967,0.874945,123.416,0.4985383984977447,0.05813587738467189,0.11661263718071434,0.05813587738467189,0.09287051585366587,1972
1973-03-31,1377.49,80.925,162.839,0.885445,131.812,0.4969632581875349,0.05874815788136393,0.11821428830699315,0.05874815788136393,0.0956899868601587,1973
1973-06-30,1413.8870000000002,78.707,171.283,0.8814449999999999,131.295,0.45951437095333453,0.05566710776745241,0.12114334455299466,0.05566710776745241,0.09286102779076402,1973
1973-09-30,1433.838,77.932,176.642,0.8825449999999999,130.8,0.441186127874458,0.05435202582160607,0.12319522847071984,0.05435202582160607,0.09122369472701938,1973
1973-12-31,1476.289,75.723,180.142,0.882676,128.201,0.42035172253000413,0.051292802425541344,0.12202353333256565,0.051292802425541344,0.08684004283714096,1973
1974-03-31,1491.2089999999998,72.438,183.40400000000002,0.86661,126.652,0.39496412291989264,0.04857669179839983,0.12299013753270001,0.04857669179839983,0.08493242731233516,1974
1974-06-30,1530.056,71.157,188.81799999999998,0.863121,130.583,0.3768549608617823,0.046506140951703724,0.12340594069759536,0.046506140951703724,0.08534524226564257,1974
1974-09-30,1560.026,70.949,194.485,0.850243,136.32399999999998,0.3648044836362701,0.04547937021562461,0.12466779399830516,0.04547937021562461,0.08738572305846183,1974
1974-12-31,1599.6789999999999,63.324,197.56900000000002,0.786007,127.148,0.3205158704047699,0.039585441829267,0.12350540327153137,0.039585441829267,0.07948344636642726,1974
1975-03-31,1616.116,61.196999999999996,193.137,0.7455769999999999,131.787,0.31685798163997575,0.03786671253796138,0.11950689183202196,0.03786671253796138,0.08154550787195969,1975
1975-06-30,1651.8529999999998,63.958999999999996,193.27599999999998,0.7457290000000001,136.692,0.33092054885241834,0.038719547078341715,0.11700556889747453,0.038719547078341715,0.08275070481453255,1975
1975-09-30,1709.82,68.77199999999999,197.80700000000002,0.7661629999999999,146.78799999999998,0.3476722259576253,0.04022177773098922,0.11568878595407706,0.04022177773098922,0.08584997251172638,1975
1975-12-31,1761.8310000000001,73.005,202.88299999999998,0.7763089999999999,153.392,0.3598379361503921,0.04143700502488604,0.11515463174390732,0.04143700502488604,0.08706396924563138,1975
1976-03-31,1820.487,80.441,209.50400000000002,0.7911450000000001,163.297,0.383959256147854,0.04418652811033531,0.11508129418117241,0.04418652811033531,0.08969962433129157,1976
1976-06-30,1852.332,84.84700000000001,215.00799999999998,0.794117,165.9,0.3946225256734634,0.045805503549039804,0.11607422427512992,0.045805503549039804,0.08956277816287793,1976
1976-09-30,1886.558,84.874,222.627,0.801251,169.845,0.38123857393757266,0.04498881030956906,0.1180069735465329,0.04498881030956906,0.09002903700813863,1976
1976-12-31,1934.273,96.88799999999999,230.24400000000003,0.8161579999999999,175.455,0.4208057538958669,0.05009013722468338,0.11903386957270252,0.05009013722468338,0.09070849874862547,1976
1977-03-31,1988.648,102.213,243.278,0.828238,183.93099999999998,0.42014896538116886,0.05139823638974821,0.12233336417505764,0.05139823638974821,0.09249047594144363,1977
1977-06-30,2055.909,116.485,253.74900000000002,0.842573,189.22299999999998,0.45905599627978827,0.056658636155588596,0.12342423716224794,0.056658636155588596,0.0920386067671283,1977
1977-09-30,2118.473,119.98200000000001,263.268,0.8411660000000001,193.99200000000002,0.45574091799990896,0.05663607702340318,0.1242725302611834,0.05663607702340318,0.0915716178587124,1977
1977-12-31,2164.27,122.235,275.943,0.837917,200.706,0.4429719181135235,0.0564786278976283,0.12749934157937778,0.0564786278976283,0.09273611887611065,1977
1978-03-31,2202.76,126.921,282.42400000000004,0.8390479999999999,198.168,0.4493987763079625,0.05761907788410903,0.12821369554558826,0.05761907788410903,0.08996350033594218,1978
1978-06-30,2331.633,136.976,309.351,0.8582160000000001,216.187,0.4427850564569049,0.05874680963942439,0.13267568266532512,0.05874680963942439,0.09271913718839973,1978
1978-09-30,2395.053,142.30200000000002,325.1,0.856081,216.74,0.4377176253460474,0.059414969105067834,0.13573812354048118,0.059414969105067834,0.09049486587561946,1978
1978-12-31,2476.949,145.84,341.42800000000005,0.8670990000000001,222.299,0.427147158405286,0.058878886888668276,0.1378421598506873,0.058878886888668276,0.08974710419956164,1978
1979-03-31,2526.61,145.262,356.695,0.862161,223.278,0.40724428433255305,0.057492846145625956,0.14117532978971822,0.057492846145625956,0.08837058350912882,1979
1979-06-30,2591.2470000000003,147.625,364.26800000000003,0.852954,222.101,0.4052648050336565,0.056970640004600094,0.14057633255339996,0.056970640004600094,0.08571201433132386,1979
1979-09-30,2667.565,150.488,383.00300000000004,0.841398,230.93200000000002,0.392915982381339,0.05641399553525406,0.14357775724302876,0.05641399553525406,0.08657033661785186,1979
1979-12-31,2723.883,147.99,391.332,0.8411660000000001,229.049,0.37816994265738557,0.05433052741252103,0.1436669636691444,0.05433052741252103,0.08408914773505324,1979
1980-03-31,2789.842,140.171,404.49199999999996,0.8373959999999999,232.055,0.34653590182253297,0.050243347114281016,0.1449874222267784,0.050243347114281016,0.0831785455950552,1980
1980-06-30,2797.3520000000003,116.86399999999999,394.68,0.785779,211.917,0.2960981047937569,0.041776651633401864,0.14109057422877064,0.041776651633401864,0.07575628665966956,1980
1980-09-30,2856.4829999999997,123.21,405.717,0.790235,225.363,0.30368458802564346,0.043133461672973376,0.14203375269518495,0.043133461672973376,0.07889527086280577,1980
1980-12-31,2985.5570000000002,137.835,422.755,0.8129609999999999,236.23,0.32603990490946294,0.04616726460087682,0.14160004314102861,0.04616726460087682,0.07912426391457271,1980
1981-03-31,3124.2059999999997,137.601,443.025,0.80281,246.047,0.31059421025901474,0.04404351057516694,0.1418040295678326,0.04404351057516694,0.07875505008312512,1981
1981-06-30,3162.532,135.265,462.86400000000003,0.801545,240.93599999999998,0.29223486812541044,0.04277110871921611,0.14635867716121134,0.04277110871921611,0.07618452556369389,1981
1981-09-30,3260.6090000000004,126.228,482.10900000000004,0.795811,251.925,0.26182460812803743,0.038713013427859634,0.1478585748858572,0.038713013427859634,0.07726317384267785,1981
