,Residential investment,House prices,Mortgage interest rate,General Prices,Inflation,General inflation,Own interest rate,Real mortgage interest rate,$g_{I_h}$
1999-06-30,459.27,1.5002969306745015,0.07629999999999999,166.0,0.018664714246302117,0.007281553398058138,0.05657925021614352,0.06851951807228929,0.026615969581748944
1999-09-30,466.625,1.5298337188222793,0.0776,167.8,0.019687294924011223,0.010843373493975905,0.05679457355630224,0.06604052443384978,0.016014544821129295
1999-12-31,473.806,1.5607770206913796,0.0806,168.8,0.020226578541438833,0.005959475566150285,0.05917648366392658,0.07419834123222735,0.01538923118135549
2000-03-31,484.24300000000005,1.5960492592361069,0.0823,171.0,0.022599152907250453,0.013033175355450233,0.058381475207582634,0.06837567251461985,0.022028003022334097
2000-06-30,486.61300000000006,1.6319309870600738,0.08220000000000001,172.2,0.02248159172802744,0.007017543859649145,0.058405362751857925,0.07465853658536581,0.004894236984323896
2000-09-30,483.08,1.6649528036506847,0.0788,173.6,0.020234811920631257,0.008130081300812941,0.057403636295371596,0.07010000000000005,-0.0072603896731079365
2000-12-31,487.792,1.7055541664062013,0.0713,174.6,0.024385894102518346,0.005760368663594528,0.045797297842122164,0.0651642611683847,0.009754077999503119
2001-03-31,496.716,1.736434956554354,0.0691,176.1,0.018106015485408022,0.00859106529209619,0.05008710658710647,0.059993526405451414,0.01829468297963066
2001-06-30,511.00800000000004,1.7627836469338,0.0711,177.7,0.015174015174015176,0.009085746734809774,0.05509004760764902,0.061455880697805165,0.028772980938806203
2001-09-30,522.446,1.7943051822216665,0.0672,178.1,0.017881681250387915,0.0022509848058525073,0.048451917013604406,0.06480314430095446,0.02238321122174214
2001-12-31,522.064,1.8198724760892668,0.0716,177.4,0.014249133380946688,-0.003930376193149843,0.0565451472735079,0.07582841037204058,-0.000731176044988513
2002-03-31,538.339,1.8548790398199662,0.0718,178.5,0.019235723486474843,0.006200676437429609,0.051572247030078566,0.06519507002801128,0.0311743387783876
2002-06-30,554.846,1.9037006938801024,0.0655,179.6,0.026320667284522647,0.006162464985994376,0.03817455300704364,0.05897410913140333,0.030662835128051125
2002-09-30,558.88,1.9500375070325686,0.0599,180.8,0.024340387804357544,0.006681514476614803,0.0347146442911066,0.052865265486725654,0.007270485864546261
2002-12-31,578.313,1.9944208289054197,0.0593,181.8,0.022760240104504836,0.005530973451327359,0.035726613592019785,0.05347326732673263,0.03477132837102781
2003-03-31,601.444,2.033975120335063,0.0591,183.9,0.019832470086742715,0.011551155115511413,0.03850390242028401,0.04700587275693313,0.039997371665516646
2003-06-30,612.0319999999999,2.0730449459273617,0.0524,183.1,0.019208605455243832,-0.004350190320826619,0.03256584998115364,0.05699814309120699,0.01760429898710436
2003-09-30,651.745,2.1300087516409323,0.059800000000000006,185.1,0.027478326422917032,0.010922992900054718,0.03145728016434979,0.048348892490545525,0.0648871300847016
2003-12-31,683.107,2.1907388885416017,0.058499999999999996,185.5,0.02851168421438821,0.002160994057266441,0.029157000592091364,0.05621752021563342,0.048120046950878015
2004-03-31,706.197,2.2670188160280054,0.054000000000000006,187.1,0.03481926937316748,0.008625336927223781,0.01853534350829311,0.04498663816141102,0.03380143959877446
2004-06-30,743.16,2.3418609739326124,0.0625,188.9,0.033013470102438935,0.009620523784072743,0.028544187225977735,0.05237559555320259,0.05234091903533988
2004-09-30,763.6110000000001,2.4095142839282366,0.0572,189.8,0.028888696104797384,0.004764425622022284,0.02751639123102856,0.0521869336143308,0.027518973034070804
2004-12-31,786.299,2.490045008439082,0.0581,191.7,0.03342197431573468,0.01001053740779767,0.023879911882661142,0.047612832550860684,0.02971146303549821
2005-03-31,815.285,2.591392136025504,0.0604,193.1,0.04070092196845576,0.007303077725612894,0.018928663956868652,0.052711962713619887,0.03686383932829629
2005-06-30,843.801,2.67537663311871,0.0553,193.7,0.03240902676428403,0.0031071983428274663,0.022172387728398135,0.05203113061435216,0.034976725930196295
2005-09-30,875.5930000000001,2.757376383071827,0.0591,198.8,0.03064979671947321,0.026329375322664106,0.027604141941407034,0.03192992957746443,0.037677130034214246
2005-12-31,890.206,2.82731137088204,0.0622,198.1,0.02536287328765141,-0.0035211267605634866,0.0359259416076152,0.06595335689045956,0.016689260878056222
2006-03-31,896.2180000000001,2.881274613990123,0.0635,199.7,0.019086416750500268,0.008076728924785392,0.043581763547706265,0.054979218828242304,0.006753493011729894
2006-06-30,859.3389999999999,2.867881477777083,0.0678,201.8,-0.004648337283787329,0.010515773660490835,0.07278667429567887,0.056688107036670043,-0.04114958637295851
2006-09-30,814.7180000000001,2.856832531099581,0.06309999999999999,202.8,-0.003852651081684866,0.0049554013875123815,0.06721159390163178,0.05785788954635107,-0.05192479335861622
2006-12-31,782.3810000000001,2.877742701756579,0.061799999999999994,203.1,0.007319354715185078,0.0014792899408282434,0.05408477959824287,0.06023161004431343,-0.039691034198336084
2007-03-31,750.8889999999999,2.8779302369194224,0.0616,205.28799999999998,6.516745320173101e-05,0.010773018217626662,0.06153082273978705,0.050285257784186355,-0.04025148872480311
2007-06-30,719.2739999999999,2.817075076576858,0.0667,207.234,-0.021145460568114505,0.009479365574217802,0.08974312017707842,0.05668331258384218,-0.04210342673817302
2007-09-30,673.671,2.774973432518597,0.0642,208.547,-0.01494516223877873,0.00633583292316886,0.08034594542843476,0.05749985758605991,-0.06340142977502294
2007-12-31,618.156,2.7246358692254806,0.0617,211.445,-0.018139836116351393,0.013896148110497775,0.08131487461570197,0.04714866702925136,-0.08240669406876666
2008-03-31,566.675,2.6576233043695687,0.058499999999999996,213.44799999999998,-0.024595053457532767,0.009472912577738857,0.08519031377899111,0.04856701632247673,-0.08328156646542295
2008-06-30,538.808,2.5789835594173907,0.0645,217.463,-0.029590252622665347,0.018810202016416255,0.09695930288927657,0.04484623131291299,-0.04917633564212287
2008-09-30,507.06,2.505407263861974,0.060899999999999996,218.877,-0.02852918363389567,0.006502255556117609,0.09205545048529151,0.0540463214499467,-0.05892265890632653
2008-12-31,451.39099999999996,2.400809526786272,0.051,211.398,-0.041748796127647925,-0.0341698762318563,0.09678964738352969,0.08818308120228191,-0.10978779631601787
